Ano|Distrito|Inscritos|Votantes|Brancos|Nulos|Partido|Votos|Mandatos|Previsão (%)|Abstenção|Inscritos_totais|abstenção_totais|Visão
2025|Lisboa|1913096,0|1270409,0|31230,0|16867,0|PS|386778,0|16,0|0,3045|0,31079999999999997|10850615|0,44|Histórico
2025|Lisboa|1913096,0|1270409,0|31230,0|16867,0|AD|316729,0|13,0|0,2493|0,31079999999999997|10850615|0,44|Histórico
2025|Lisboa|1913096,0|1270409,0|31230,0|16867,0|CDU|119501,0|5,0|0,0941|0,31079999999999997|10850615|0,44|Histórico
2025|Lisboa|1913096,0|1270409,0|31230,0|16867,0|CH|114032,0|4,0|0,0898|0,31079999999999997|10850615|0,44|Histórico
2025|Lisboa|1913096,0|1270409,0|31230,0|16867,0|BE|106119,0|4,0|0,08349999999999999|0,31079999999999997|10850615|0,44|Histórico
2025|Lisboa|1913096,0|1270409,0|31230,0|16867,0|IL|70514,0|2,0|0,0555|0,31079999999999997|10850615|0,44|Histórico
2025|Lisboa|1913096,0|1270409,0|31230,0|16867,0|PAN|54689,0|2,0|0,043|0,31079999999999997|10850615|0,44|Histórico
2025|Lisboa|1913096,0|1270409,0|31230,0|16867,0|L|52129,0|2,0|0,040999999999999995|0,31079999999999997|10850615|0,44|Histórico
2025|Porto|1591445,0|1009421,0|24736,0|15083,0|PS|319252,0|13,0|0,31629999999999997|0,3407|10850615|0,44|Histórico
2025|Porto|1591445,0|1009421,0|24736,0|15083,0|AD|315183,0|13,0|0,3122|0,3407|10850615|0,44|Histórico
2025|Porto|1591445,0|1009421,0|24736,0|15083,0|CH|96925,0|4,0|0,096|0,3407|10850615|0,44|Histórico
2025|Porto|1591445,0|1009421,0|24736,0|15083,0|BE|78211,0|3,0|0,0775|0,3407|10850615|0,44|Histórico
2025|Porto|1591445,0|1009421,0|24736,0|15083,0|CDU|73431,0|3,0|0,0727|0,3407|10850615|0,44|Histórico
2025|Porto|1591445,0|1009421,0|24736,0|15083,0|IL|47394,0|2,0|0,047|0,3407|10850615|0,44|Histórico
2025|Porto|1591445,0|1009421,0|24736,0|15083,0|L|29393,0|1,0|0,0291|0,3407|10850615|0,44|Histórico
2025|Porto|1591445,0|1009421,0|24736,0|15083,0|PAN|25019,0|1,0|0,0248|0,3407|10850615|0,44|Histórico
2025|Açores|230305,0|100322,0|3926,0|1554,0|AD|35793,0|3,0|0,3568|0,5406|10850615|0,44|Histórico
2025|Açores|230305,0|100322,0|3926,0|1554,0|PS|35639,0|2,0|0,3552|0,5406|10850615|0,44|Histórico
2025|Açores|230305,0|100322,0|3926,0|1554,0|CH|8893,0|0,0|0,0886|0,5406|10850615|0,44|Histórico
2025|Açores|230305,0|100322,0|3926,0|1554,0|BE|4751,0|0,0|0,047400000000000005|0,5406|10850615|0,44|Histórico
2025|Açores|230305,0|100322,0|3926,0|1554,0|IL|3235,0|0,0|0,0322|0,5406|10850615|0,44|Histórico
2025|Açores|230305,0|100322,0|3926,0|1554,0|CDU|3022,0|0,0|0,0301|0,5406|10850615|0,44|Histórico
2025|Açores|230305,0|100322,0|3926,0|1554,0|L|2984,0|0,0|0,0297|0,5406|10850615|0,44|Histórico
2025|Açores|230305,0|100322,0|3926,0|1554,0|PAN|2984,0|0,0|0,0297|0,5406|10850615|0,44|Histórico
2025|Aveiro|642080,0|387983,0|11055,0|6243,0|AD|129924,0|7,0|0,33490000000000003|0,3688|10850615|0,44|Histórico
2025|Aveiro|642080,0|387983,0|11055,0|6243,0|PS|105555,0|5,0|0,2721|0,3688|10850615|0,44|Histórico
2025|Aveiro|642080,0|387983,0|11055,0|6243,0|CH|43275,0|2,0|0,1115|0,3688|10850615|0,44|Histórico
2025|Aveiro|642080,0|387983,0|11055,0|6243,0|BE|42017,0|2,0|0,10830000000000001|0,3688|10850615|0,44|Histórico
2025|Aveiro|642080,0|387983,0|11055,0|6243,0|IL|15628,0|0,0|0,0403|0,3688|10850615|0,44|Histórico
2025|Aveiro|642080,0|387983,0|11055,0|6243,0|CDU|15595,0|0,0|0,04019999999999999|0,3688|10850615|0,44|Histórico
2025|Aveiro|642080,0|387983,0|11055,0|6243,0|L|11191,0|0,0|0,0288|0,3688|10850615|0,44|Histórico
2025|Aveiro|642080,0|387983,0|11055,0|6243,0|PAN|11191,0|0,0|0,0288|0,3688|10850615|0,44|Histórico
2025|Beja|118328,0|73550,0|1695,0|1124,0|PS|23386,0|1,0|0,318|0,3546|10850615|0,44|Histórico
2025|Beja|118328,0|73550,0|1695,0|1124,0|CDU|13023,0|1,0|0,1771|0,3546|10850615|0,44|Histórico
2025|Beja|118328,0|73550,0|1695,0|1124,0|CH|11924,0|1,0|0,16210000000000002|0,3546|10850615|0,44|Histórico
2025|Beja|118328,0|73550,0|1695,0|1124,0|AD|10777,0|0,0|0,1465|0,3546|10850615|0,44|Histórico
2025|Beja|118328,0|73550,0|1695,0|1124,0|BE|5599,0|0,0|0,0761|0,3546|10850615|0,44|Histórico
2025|Beja|118328,0|73550,0|1695,0|1124,0|L|1948,0|0,0|0,0265|0,3546|10850615|0,44|Histórico
2025|Beja|118328,0|73550,0|1695,0|1124,0|IL|1819,0|0,0|0,024700000000000003|0,3546|10850615|0,44|Histórico
2025|Beja|118328,0|73550,0|1695,0|1124,0|PAN|1819,0|0,0|0,024700000000000003|0,3546|10850615|0,44|Histórico
2025|Braga|782401,0|531909,0|14540,0|7960,0|AD|170145,0|7,0|0,31989999999999996|0,2914|10850615|0,44|Histórico
2025|Braga|782401,0|531909,0|14540,0|7960,0|PS|156872,0|7,0|0,2949|0,2914|10850615|0,44|Histórico
2025|Braga|782401,0|531909,0|14540,0|7960,0|CH|61857,0|2,0|0,11630000000000001|0,2914|10850615|0,44|Histórico
2025|Braga|782401,0|531909,0|14540,0|7960,0|BE|43510,0|1,0|0,0818|0,2914|10850615|0,44|Histórico
2025|Braga|782401,0|531909,0|14540,0|7960,0|CDU|28494,0|1,0|0,0536|0,2914|10850615|0,44|Histórico
2025|Braga|782401,0|531909,0|14540,0|7960,0|IL|23011,0|1,0|0,0433|0,2914|10850615|0,44|Histórico
2025|Braga|782401,0|531909,0|14540,0|7960,0|PAN|17425,0|0,0|0,032799999999999996|0,2914|10850615|0,44|Histórico
2025|Braga|782401,0|531909,0|14540,0|7960,0|L|13068,0|0,0|0,0246|0,2914|10850615|0,44|Histórico
2025|Bragança|132779,0|60631,0|1436,0|1415,0|AD|24784,0|2,0|0,40880000000000005|0,5219|10850615|0,44|Histórico
2025|Bragança|132779,0|60631,0|1436,0|1415,0|PS|18324,0|1,0|0,30219999999999997|0,5219|10850615|0,44|Histórico
2025|Bragança|132779,0|60631,0|1436,0|1415,0|CH|7684,0|0,0|0,1267|0,5219|10850615|0,44|Histórico
2025|Bragança|132779,0|60631,0|1436,0|1415,0|CDU|3467,0|0,0|0,0572|0,5219|10850615|0,44|Histórico
2025|Bragança|132779,0|60631,0|1436,0|1415,0|BE|2489,0|0,0|0,041100000000000005|0,5219|10850615|0,44|Histórico
2025|Bragança|132779,0|60631,0|1436,0|1415,0|IL|832,0|0,0|0,0137|0,5219|10850615|0,44|Histórico
2025|Bragança|132779,0|60631,0|1436,0|1415,0|PAN|504,0|0,0|0,0083|0,5219|10850615|0,44|Histórico
2025|Bragança|132779,0|60631,0|1436,0|1415,0|L|392,0|0,0|0,006500000000000001|0,5219|10850615|0,44|Histórico
2025|Castelo Branco|162590,0|98297,0|2943,0|2297,0|PS|31726,0|2,0|0,32280000000000003|0,3632|10850615|0,44|Histórico
2025|Castelo Branco|162590,0|98297,0|2943,0|2297,0|AD|27751,0|2,0|0,2823|0,3632|10850615|0,44|Histórico
2025|Castelo Branco|162590,0|98297,0|2943,0|2297,0|CH|12240,0|0,0|0,1245|0,3632|10850615|0,44|Histórico
2025|Castelo Branco|162590,0|98297,0|2943,0|2297,0|BE|10435,0|0,0|0,10619999999999999|0,3632|10850615|0,44|Histórico
2025|Castelo Branco|162590,0|98297,0|2943,0|2297,0|CDU|7773,0|0,0|0,0791|0,3632|10850615|0,44|Histórico
2025|Castelo Branco|162590,0|98297,0|2943,0|2297,0|IL|2269,0|0,0|0,0231|0,3632|10850615|0,44|Histórico
