Ano;Distrito;Inscritos;Votantes;Brancos;Nulos;Partido;Votos;Mandatos;Percentual;Abstenção
2019;Açores;228946;83561;3926;1350;AD;29690;2;36;63,5018738
2019;Açores;228946;83561;3926;1350;BE;6662;0;8;63,5018738
2019;Açores;228946;83561;3926;1350;CDU;2045;0;2;63,5018738
2019;Açores;228946;83561;3926;1350;CH;707;0;1;63,5018738
2019;Açores;228946;83561;3926;1350;IL;568;0;1;63,5018738
2019;Açores;228946;83561;3926;1350;L;714;0;1;63,5018738
2019;Açores;228946;83561;3926;1350;Outros;2214;0;3;63,5018738
2019;Açores;228946;83561;3926;1350;PAN;2212;0;3;63,5018738
2019;Açores;228946;83561;3926;1350;PS;33473;3;40;63,5018738
2019;Aveiro;645650;352093;10596;6243;AD;138625;7;39;45,46689383
2019;Aveiro;645650;352093;10596;6243;BE;35074;2;10;45,46689383
2019;Aveiro;645650;352093;10596;6243;CDU;10742;0;3;45,46689383
2019;Aveiro;645650;352093;10596;6243;CH;2601;0;1;45,46689383
2019;Aveiro;645650;352093;10596;6243;IL;3566;0;1;45,46689383
2019;Aveiro;645650;352093;10596;6243;L;2410;0;1;45,46689383
2019;Aveiro;645650;352093;10596;6243;Outros;10924;0;3;45,46689383
2019;Aveiro;645650;352093;10596;6243;PAN;10442;0;3;45,46689383
2019;Aveiro;645650;352093;10596;6243;PS;120870;7;34;45,46689383
2019;Beja;122987;64268;1378;1083;AD;10131;0;16;47,74407051
2019;Beja;122987;64268;1378;1083;BE;5833;0;9;47,74407051
2019;Beja;122987;64268;1378;1083;CDU;14655;1;23;47,74407051
2019;Beja;122987;64268;1378;1083;CH;1313;0;2;47,74407051
2019;Beja;122987;64268;1378;1083;IL;279;0;0;47,74407051
2019;Beja;122987;64268;1378;1083;L;398;0;1;47,74407051
2019;Beja;122987;64268;1378;1083;Outros;1768;0;3;47,74407051
2019;Beja;122987;64268;1378;1083;PAN;1269;0;2;47,74407051
2019;Beja;122987;64268;1378;1083;PS;26161;2;41;47,74407051
2019;Braga;778174;465674;14540;7960;AD;178323;9;38;40,15811374
2019;Braga;778174;465674;14540;7960;BE;41357;2;9;40,15811374
2019;Braga;778174;465674;14540;7960;CDU;18460;0;4;40,15811374
2019;Braga;778174;465674;14540;7960;CH;3192;0;1;40,15811374
2019;Braga;778174;465674;14540;7960;IL;3786;0;1;40,15811374
2019;Braga;778174;465674;14540;7960;L;3168;0;1;40,15811374
2019;Braga;778174;465674;14540;7960;Outros;13331;0;3;40,15811374
2019;Braga;778174;465674;14540;7960;PAN;11949;0;3;40,15811374
2019;Braga;778174;465674;14540;7960;PS;169608;8;36;40,15811374
2019;Bragança;141557;63531;1305;1392;AD;28850;2;45;55,11984572
2019;Bragança;141557;63531;1305;1392;BE;3835;0;6;55,11984572
2019;Bragança;141557;63531;1305;1392;CDU;1350;0;2;55,11984572
2019;Bragança;141557;63531;1305;1392;CH;531;0;1;55,11984572
2019;Bragança;141557;63531;1305;1392;IL;271;0;0;55,11984572
2019;Bragança;141557;63531;1305;1392;L;270;0;0;55,11984572
2019;Bragança;141557;63531;1305;1392;Outros;1681;0;3;55,11984572
2019;Bragança;141557;63531;1305;1392;PAN;830;0;1;55,11984572
2019;Bragança;141557;63531;1305;1392;PS;23216;1;37;55,11984572
2019;Castelo Branco;170075;93695;2250;2216;AD;28339;1;30;44,90959871
2019;Castelo Branco;170075;93695;2250;2216;BE;10353;0;11;44,90959871
2019;Castelo Branco;170075;93695;2250;2216;CDU;4451;0;5;44,90959871
2019;Castelo Branco;170075;93695;2250;2216;CH;1187;0;1;44,90959871
2019;Castelo Branco;170075;93695;2250;2216;IL;543;0;1;44,90959871
2019;Castelo Branco;170075;93695;2250;2216;L;834;0;1;44,90959871
2019;Castelo Branco;170075;93695;2250;2216;Outros;2978;0;3;44,90959871
2019;Castelo Branco;170075;93695;2250;2216;PAN;2231;0;2;44,90959871
2019;Castelo Branco;170075;93695;2250;2216;PS;38313;3;41;44,90959871
2019;Coimbra;380004;203931;6910;3755;AD;61633;3;30;46,33451227
2019;Coimbra;380004;203931;6910;3755;BE;22805;1;11;46,33451227
2019;Coimbra;380004;203931;6910;3755;CDU;11402;0;6;46,33451227
2019;Coimbra;380004;203931;6910;3755;CH;1844;0;1;46,33451227
2019;Coimbra;380004;203931;6910;3755;IL;1682;0;1;46,33451227
2019;Coimbra;380004;203931;6910;3755;L;1920;0;1;46,33451227
2019;Coimbra;380004;203931;6910;3755;Outros;7028;0;3;46,33451227
2019;Coimbra;380004;203931;6910;3755;PAN;5356;0;3;46,33451227
2019;Coimbra;380004;203931;6910;3755;PS;79596;5;39;46,33451227
2019;Europa;895509;108446;1665;27293;AD;23690;1;22;87,89001562
2019;Europa;895509;108446;1665;27293;BE;6106;0;6;87,89001562
2019;Europa;895509;108446;1665;27293;CDU;2713;0;3;87,89001562
2019;Europa;895509;108446;1665;27293;CH;833;0;1;87,89001562
2019;Europa;895509;108446;1665;27293;IL;874;0;1;87,89001562
2019;Europa;895509;108446;1665;27293;L;1167;0;1;87,89001562
2019;Europa;895509;108446;1665;27293;Outros;7432;0;7;87,89001562
2019;Europa;895509;108446;1665;27293;PAN;5296;0;5;87,89001562
2019;Europa;895509;108446;1665;27293;PS;31377;1;29;87,89001562
2019;Évora;136694;74018;1691;1032;AD;15582;0;21;45,85131754
2019;Évora;136694;74018;1691;1032;BE;6624;0;9;45,85131754
2019;Évora;136694;74018;1691;1032;CDU;13980;1;19;45,85131754
2019;Évora;136694;74018;1691;1032;CH;1646;0;2;45,85131754
2019;Évora;136694;74018;1691;1032;IL;490;0;1;45,85131754
2019;Évora;136694;74018;1691;1032;L;500;0;1;45,85131754
2019;Évora;136694;74018;1691;1032;Outros;2655;0;4;45,85131754
2019;Évora;136694;74018;1691;1032;PAN;1446;0;2;45,85131754
2019;Évora;136694;74018;1691;1032;PS;28372;2;38;45,85131754
2019;Faro;360169;165377;4717;2860;AD;43730;3;26;54,08349969
2019;Faro;360169;165377;4717;2860;BE;20241;1;12;54,08349969
2019;Faro;360169;165377;4717;2860;CDU;11719;0;7;54,08349969
2019;Faro;360169;165377;4717;2860;CH;3513;0;2;54,08349969
2019;Faro;360169;165377;4717;2860;IL;1358;0;1;54,08349969
2019;Faro;360169;165377;4717;2860;L;1625;0;1;54,08349969
2019;Faro;360169;165377;4717;2860;Outros;6930;0;4;54,08349969
2019;Faro;360169;165377;4717;2860;PAN;7856;0;5;54,08349969
2019;Faro;360169;165377;4717;2860;PS;60828;5;37;54,08349969
2019;Fora da Europa;569128;49908;429;8664;AD;18962;1;38;91,23079518
2019;Fora da Europa;569128;49908;429;8664;BE;1398;0;3;91,23079518
2019;Fora da Europa;569128;49908;429;8664;CDU;515;0;1;91,23079518
2019;Fora da Europa;569128;49908;429;8664;CH;459;0;1;91,23079518
2019;Fora da Europa;569128;49908;429;8664;IL;1248;0;3;91,23079518
2019;Fora da Europa;569128;49908;429;8664;L;342;0;1;91,23079518
2019;Fora da Europa;569128;49908;429;8664;Outros;5484;0;11;91,23079518
2019;Fora da Europa;569128;49908;429;8664;PAN;2347;0;5;91,23079518
2019;Fora da Europa;569128;49908;429;8664;PS;10060;1;20;91,23079518
2019;Guarda;151535;76649;2030;2041;AD;30252;1;39;49,4182862
2019;Guarda;151535;76649;2030;2041;BE;5990;0;8;49,4182862
2019;Guarda;151535;76649;2030;2041;CDU;2295;0;3;49,4182862
