Ano;Distrito;Inscritos;Votantes;Brancos;Nulos;Partido;Votos;Mandatos;Previsão (%);Abstenção;Inscritos_totais;abstenção_totais;Cor1;Visão
2025;Braga;782401;531909;14540;7960;PAN;14582;0;0,0274;0,2914;10850615;0,44;#518196;Histórico
2025;Bragança;132779;60631;1436;1415;AD;24784;2;0,4088;0,5219;10850615;0,44;#FFA500;Histórico
2025;Bragança;132779;60631;1436;1415;PS;18324;1;0,3022;0,5219;10850615;0,44;#FFC0CB;Histórico
2025;Bragança;132779;60631;1436;1415;CH;7684;0;0,1267;0,5219;10850615;0,44;#201f58;Histórico
2025;Bragança;132779;60631;1436;1415;CDU;3467;0;0,0572;0,5219;10850615;0,44;#006699;Histórico
2025;Bragança;132779;60631;1436;1415;BE;2489;0;0,0411;0,5219;10850615;0,44;#db0812;Histórico
2025;Bragança;132779;60631;1436;1415;IL;832;0;0,0137;0,5219;10850615;0,44;#00aeee;Histórico
2025;Bragança;132779;60631;1436;1415;PAN;504;0;0,0083;0,5219;10850615;0,44;#518196;Histórico
2025;Bragança;132779;60631;1436;1415;L;392;0;0,0065;0,5219;10850615;0,44;#000000;Histórico
2025;Castelo Branco;162590;98297;2943;2297;PS;33762;2;0,3435;0,3632;10850615;0,44;#FFC0CB;Histórico
2025;Castelo Branco;162590;98297;2943;2297;AD;27188;2;0,2766;0,3632;10850615;0,44;#FFA500;Histórico
2025;Castelo Branco;162590;98297;2943;2297;CH;11491;0;0,1169;0,3632;10850615;0,44;#201f58;Histórico
2025;Castelo Branco;162590;98297;2943;2297;BE;9741;0;0,0991;0,3632;10850615;0,44;#db0812;Histórico
2025;Castelo Branco;162590;98297;2943;2297;CDU;7496;0;0,0763;0,3632;10850615;0,44;#006699;Histórico
2025;Castelo Branco;162590;98297;2943;2297;IL;2806;0;0,0285;0,3632;10850615;0,44;#00aeee;Histórico
2025;Castelo Branco;162590;98297;2943;2297;PAN;1742;0;0,0177;0,3632;10850615;0,44;#518196;Histórico
2025;Castelo Branco;162590;98297;2943;2297;L;1633;0;0,0166;0,3632;10850615;0,44;#000000;Histórico
2025;Coimbra;370800;226959;8155;3755;PS;82007;4;0,3613;0,3558;10850615;0,44;#FFC0CB;Histórico
2025;Coimbra;370800;226959;8155;3755;AD;75683;4;0,3335;0,3558;10850615;0,44;#FFA500;Histórico
2025;Coimbra;370800;226959;8155;3755;CH;20869;1;0,0919;0,3558;10850615;0,44;#201f58;Histórico
2025;Coimbra;370800;226959;8155;3755;CDU;16216;0;0,0714;0,3558;10850615;0,44;#006699;Histórico
2025;Coimbra;370800;226959;8155;3755;BE;15810;0;0,0697;0,3558;10850615;0,44;#db0812;Histórico
2025;Coimbra;370800;226959;8155;3755;IL;4562;0;0,0201;0,3558;10850615;0,44;#00aeee;Histórico
2025;Coimbra;370800;226959;8155;3755;L;3772;0;0,0166;0,3558;10850615;0,44;#000000;Histórico
2025;Coimbra;370800;226959;8155;3755;PAN;3343;0;0,0147;0,3558;10850615;0,44;#518196;Histórico
2025;Europa;947984;18496;1665;94261;PS;4107;1;0,2221;0,8793;10850615;0,44;#FFC0CB;Histórico
2025;Europa;947984;18496;1665;94261;AD;3797;1;0,2053;0,8793;10850615;0,44;#FFA500;Histórico
2025;Europa;947984;18496;1665;94261;CH;3439;0;0,1859;0,8793;10850615;0,44;#201f58;Histórico
2025;Europa;947984;18496;1665;94261;CDU;1910;0;0,1033;0,8793;10850615;0,44;#006699;Histórico
2025;Europa;947984;18496;1665;94261;BE;1468;0;0,0794;0,8793;10850615;0,44;#db0812;Histórico
2025;Europa;947984;18496;1665;94261;PAN;901;0;0,0487;0,8793;10850615;0,44;#518196;Histórico
2025;Europa;947984;18496;1665;94261;L;888;0;0,048;0,8793;10850615;0,44;#000000;Histórico
2025;Europa;947984;18496;1665;94261;IL;850;0;0,046;0,8793;10850615;0,44;#00aeee;Histórico
2025;Évora;132631;85887;1866;1070;PS;26827;1;0,3124;0,3303;10850615;0,44;#FFC0CB;Histórico
2025;Évora;132631;85887;1866;1070;AD;16581;1;0,1931;0,3303;10850615;0,44;#FFA500;Histórico
2025;Évora;132631;85887;1866;1070;CDU;15995;1;0,1862;0,3303;10850615;0,44;#006699;Histórico
2025;Évora;132631;85887;1866;1070;CH;10700;0;0,1246;0,3303;10850615;0,44;#201f58;Histórico
2025;Évora;132631;85887;1866;1070;BE;6421;0;0,0748;0,3303;10850615;0,44;#db0812;Histórico
2025;Évora;132631;85887;1866;1070;IL;2127;0;0,0248;0,3303;10850615;0,44;#00aeee;Histórico
2025;Évora;132631;85887;1866;1070;L;2127;0;0,0248;0,3303;10850615;0,44;#000000;Histórico
2025;Évora;132631;85887;1866;1070;PAN;2127;0;0,0248;0,3303;10850615;0,44;#518196;Histórico
2025;Faro;383980;177781;6026;3038;PS;42860;3;0,2411;0,5134;10850615;0,44;#FFC0CB;Histórico
2025;Faro;383980;177781;6026;3038;AD;35971;2;0,2023;0,5134;10850615;0,44;#FFA500;Histórico
2025;Faro;383980;177781;6026;3038;CH;25429;2;0,143;0,5134;10850615;0,44;#201f58;Histórico
2025;Faro;383980;177781;6026;3038;BE;21341;1;0,12;0,5134;10850615;0,44;#db0812;Histórico
2025;Faro;383980;177781;6026;3038;CDU;18541;1;0,1043;0,5134;10850615;0,44;#006699;Histórico
2025;Faro;383980;177781;6026;3038;IL;10317;0;0,058;0,5134;10850615;0,44;#00aeee;Histórico
2025;Faro;383980;177781;6026;3038;L;7709;0;0,0434;0,5134;10850615;0,44;#000000;Histórico
2025;Faro;383980;177781;6026;3038;PAN;7709;0;0,0434;0,5134;10850615;0,44;#518196;Histórico
2025;Fora da Europa;636515;68212;568;31980;AD;24469;1;0,3587;0,8417;10850615;0,44;#FFA500;Histórico
2025;Fora da Europa;636515;68212;568;31980;PS;18709;1;0,2743;0,8417;10850615;0,44;#FFC0CB;Histórico
2025;Fora da Europa;636515;68212;568;31980;CH;9141;0;0,134;0,8417;10850615;0,44;#201f58;Histórico
2025;Fora da Europa;636515;68212;568;31980;IL;1995;0;0,0293;0,8417;10850615;0,44;#00aeee;Histórico
2025;Fora da Europa;636515;68212;568;31980;PAN;1987;0;0,0291;0,8417;10850615;0,44;#518196;Histórico
2025;Fora da Europa;636515;68212;568;31980;BE;1873;0;0,0275;0,8417;10850615;0,44;#db0812;Histórico
2025;Fora da Europa;636515;68212;568;31980;CDU;1751;0;0,0257;0,8417;10850615;0,44;#006699;Histórico
2025;Fora da Europa;636515;68212;568;31980;L;1438;0;0,0211;0,8417;10850615;0,44;#000000;Histórico
2025;Guarda;139520;70975;2241;2041;AD;24454;2;0,3446;0,4606;10850615;0,44;#FFA500;Histórico
2025;Guarda;139520;70975;2241;2041;PS;22670;1;0,3194;0,4606;10850615;0,44;#FFC0CB;Histórico
2025;Guarda;139520;70975;2241;2041;CH;8164;0;0,115;0,4606;10850615;0,44;#201f58;Histórico
2025;Guarda;139520;70975;2241;2041;BE;5361;0;0,0755;0,4606;10850615;0,44;#db0812;Histórico
